org_id,name,category,subcategory,area,website,verification_status,last_verified
ORG-00001,Homes First Society,base-of-pyramid,shelter/homelessness,,https://homesfirst.on.ca/,verified-live,2026-07-30
ORG-00004,Dixon Hall Neighbourhood Services,base-of-pyramid,shelter/homelessness,,https://dixonhall.org/,verified-live,2026-07-30
ORG-00005,YWCA Toronto,base-of-pyramid,shelter/homelessness (women),,https://www.ywcatoronto.org/,verified-live,2026-07-30
ORG-00006,COSTI Immigrant Services,newcomer/immigrant-serving,settlement,,https://www.costi.org/,verified-live,2026-07-30
ORG-00007,Good Shepherd Centres,base-of-pyramid,shelter/homelessness,,https://goodshepherdcentres.ca/,verified-live,2026-07-30
ORG-00008,Good Shepherd Ministries,base-of-pyramid,shelter/homelessness,,https://goodshepherd.ca/,verified-live,2026-07-30
ORG-00013,Na-Me-Res (Native Men's Residence),base-of-pyramid,shelter/homelessness (Indigenous),,https://www.nameres.org/,verified-live,2026-07-30
ORG-00015,Street Haven at the Crossroads,base-of-pyramid,shelter/homelessness (women),,https://streethaven.org/,verified-live,2026-07-30
ORG-00016,The Salvation Army (Toronto — Harbour Light / Homestead / The Gateway),base-of-pyramid,shelter/homelessness,,https://thegateway.ca/,verified-live,2026-07-30
ORG-00017,The Scott Mission,base-of-pyramid,shelter/homelessness + food security,,https://scottmission.com/,verified-live,2026-07-30
ORG-00018,Yonge Street Mission,base-of-pyramid,shelter/homelessness + youth,,https://www.ysm.ca/,verified-live,2026-07-30
ORG-00019,Daily Bread Food Bank,base-of-pyramid,food security,,https://www.dailybread.ca/,verified-live,2026-07-30
ORG-00020,North York Harvest Food Bank,base-of-pyramid,food security,,https://northyorkharvest.com/,verified-live,2026-07-30
ORG-00021,The Stop Community Food Centre,base-of-pyramid,food security,,https://www.thestop.org/,verified-live,2026-07-30
ORG-00022,FoodShare Toronto,base-of-pyramid,food security,,https://foodshare.net/,verified-live,2026-07-30
ORG-00023,Fort York Food Bank,base-of-pyramid,food security,,https://fyfb.com/,verified-live,2026-07-30
ORG-00024,Federation of Metro Tenants' Associations (FMTA),civil-society-advocacy,tenant advocacy,,https://www.torontotenants.org/,verified-live,2026-07-30
ORG-00025,Advocacy Centre for Tenants Ontario (ACTO),civil-society-advocacy,tenant legal advocacy,,https://www.acto.ca/,verified-live,2026-07-30
ORG-00026,Centre for Equality Rights in Accommodation (CERA),civil-society-advocacy,housing rights,,https://housingrightscanada.com/,verified-live,2026-07-30
ORG-00027,Canadian Centre for Housing Rights (CCHR),civil-society-advocacy,housing rights,,https://www.housingrightscanada.com/,verified-live,2026-07-30
ORG-00028,TRIEC (Toronto Region Immigrant Employment Council),newcomer/immigrant-serving,settlement / employment,,https://triec.ca/,verified-live,2026-07-30
ORG-00029,OCASI (Ontario Council of Agencies Serving Immigrants),newcomer/immigrant-serving,settlement — provincial umbrella,,https://ocasi.org/,verified-live,2026-07-30
ORG-00030,ACCES Employment,newcomer/immigrant-serving,settlement / employment,,https://accesemployment.ca/,verified-live,2026-07-30
ORG-00031,JVS Toronto,newcomer/immigrant-serving,settlement / employment,,https://www.jvstoronto.org/,verified-live,2026-07-30
ORG-00032,Polycultural Immigrant & Community Services,newcomer/immigrant-serving,settlement,,https://www.polycultural.org/,verified-live,2026-07-30
ORG-00033,CultureLink Settlement Services,newcomer/immigrant-serving,settlement,,https://www.culturelink.ca/,verified-live,2026-07-30
ORG-00034,FCJ Refugee Centre,newcomer/immigrant-serving,settlement (refugee),,https://www.fcjrefugeecentre.org/,verified-live,2026-07-30
ORG-00035,Christie Refugee Welcome Centre,newcomer/immigrant-serving,settlement (refugee),,https://christiestreetrc.com/,verified-live,2026-07-30
ORG-00036,Romero House,newcomer/immigrant-serving,settlement (refugee),,https://romerohouse.org/,verified-live,2026-07-30
ORG-00037,Matthew House Toronto,newcomer/immigrant-serving,settlement (refugee),,https://www.matthewhouse.ca/,verified-live,2026-07-30
ORG-00038,Afghan Women's Organization (AWO),newcomer/immigrant-serving,settlement (ethnocultural),,https://afghanwomen.org/,verified-live,2026-07-30
ORG-00039,World Education Services (WES),newcomer/immigrant-serving,credential recognition,,https://www.wes.org/ca/,verified-live,2026-07-30
ORG-00040,Canadian Information Centre for International Credentials (CICIC),newcomer/immigrant-serving,credential recognition,,https://cicic.ca/,verified-live,2026-07-30
ORG-00041,Native Canadian Centre of Toronto (NCCT),ethnocultural-diaspora,Indigenous community centre,,https://www.ncct.on.ca/,verified-live,2026-07-30
ORG-00042,Chinese Family Services of Ontario,ethnocultural-diaspora,Chinese community services,,https://chinesefamilyso.com/,verified-live,2026-07-30
ORG-00043,Eritrean Canadian Community Centre of Metropolitan Toronto (ECCC),ethnocultural-diaspora,Eritrean community,,https://eccctoronto.ca/,verified-live,2026-07-30
ORG-00044,Ethiopian Association in the GTA (EAGTA SR),ethnocultural-diaspora,Ethiopian community,,https://ethioassociation.ca/,verified-live,2026-07-30
ORG-00045,Hispanic Development Council (HDC),ethnocultural-diaspora,Hispanic/Latino community,,https://www.hispanic-council.ca/,verified-live,2026-07-30
ORG-00046,JIAS Toronto (Jewish Immigrant Aid Services),ethnocultural-diaspora,Jewish community / settlement,,https://jiastoronto.org/,verified-live,2026-07-30
ORG-00047,Kababayan Multicultural Centre,ethnocultural-diaspora,Filipino community,,https://www.kababayan.org/,verified-live,2026-07-30
ORG-00048,KCWA Family and Social Services,ethnocultural-diaspora,Korean community,,https://www.kcwa.net/,verified-live,2026-07-30
ORG-00049,Midaynta Community Services,ethnocultural-diaspora,Somali community,,https://midaynta.com/,verified-live,2026-07-30
ORG-00050,Tropicana Community Services Organization,ethnocultural-diaspora,Caribbean/Black community,,https://mytropicana.ca/,verified-live,2026-07-30
ORG-00051,Ukrainian Canadian Social Services Toronto (UCSST),ethnocultural-diaspora,Ukrainian community,,https://ucsst.ca/,verified-live,2026-07-30
ORG-00052,"Vietnamese Association, Toronto (VAT)",ethnocultural-diaspora,Vietnamese community,,https://www.vatoronto.ca/,verified-live,2026-07-30
ORG-00053,Centre for Spanish Speaking Peoples (CSSP),ethnocultural-diaspora,Spanish-speaking community,,https://spanishservices.org/,verified-live,2026-07-30
ORG-00054,Centre francophone du Grand Toronto (CFGT),ethnocultural-diaspora,Francophone community,,https://www.centrefranco.org/,verified-live,2026-07-30
ORG-00055,Bangladeshi-Canadian Community Services,ethnocultural-diaspora,Bangladeshi community,,https://bangladeshi.ca/,verified-live,2026-07-30
